StreamLen	Trials	NumDistinct	EpsTotalWeight	p0.00135	p0.02275	p0.15866	p0.50	p0.84134	p0.97725	p0.99865	BoundViolationRate
395	359	191.7	3.95	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.00050855
412	353	198.1	4.12	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	0.00021446
431	346	205.6	4.31	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	4.0000	0.00025308
450	340	212.3	4.50	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.00029099
470	334	219.3	4.70	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	3.0000	0.00023211
490	328	227.7	4.90	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	3.0000	0.00029451
512	322	234.2	5.12	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	0.00010606
535	316	243.9	5.35	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	2.0000	0.00015572
558	311	251.7	5.58	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	0.00024270
583	305	261.5	5.83	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	0.00028833
609	300	269.7	6.09	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	0.00013594
636	294	278.3	6.36	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	0.00015887
664	289	288.6	6.64	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	6.0000	0.00014388
693	284	297.9	6.93	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	6.0000	0.00024821
724	279	309.3	7.24	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	0.00026650
756	274	319.1	7.56	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	0.00020584
790	269	330.7	7.90	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	0.00026979
825	264	343.0	8.24	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	5.0000	0.00016565
861	259	352.2	8.60	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	5.0000	0.00019734
899	255	365.5	8.98	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	4.0000	0.00018240
939	250	378.9	9.38	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	8.0000	0.00019005
981	245	390.0	9.80	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	7.0000	0.00024070
1024	241	403.8	10.23	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	5.0000	0.00012331
1069	237	417.9	10.68	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	7.0000	0.00016155
1117	233	433.2	11.16	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	7.0000	0.00010897
1166	228	445.4	11.65	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	5.0000	0.00019695
1218	224	460.1	12.17	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	8.0000	0.00010674
1272	220	476.1	12.71	0.0000	0.0000	0.0000	1.0000	2.0000	3.0000	6.0000	0.00016230
1328	216	492.9	13.27	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	6.0000	0.00014089
1387	212	508.9	13.86	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	6.0000	0.00017610
1448	209	525.5	14.47	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	6.0000	0.00012747
1512	205	542.3	15.11	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	8.0000	0.00016191
1579	201	561.6	15.78	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	11.0000	0.00017717
1649	198	578.6	16.48	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	7.0000	0.00015713
1722	194	597.9	17.21	0.0000	0.0000	0.0000	1.0000	2.0000	4.0000	8.0000	0.00015518
1798	191	616.4	17.97	0.0000	0.0000	0.0000	1.0000	3.0000	5.0000	12.0000	0.00016988
1878	187	640.7	18.77	0.0000	0.0000	0.0000	1.0000	3.0000	5.0000	8.0000	0.00020033
1961	184	659.0	19.60	0.0000	0.0000	0.0000	1.0000	3.0000	5.0000	9.0000	0.00014019
2048	181	679.5	20.47	0.0000	0.0000	0.0000	1.0000	3.0000	5.0000	9.0000	0.00018700
2139	177	703.4	21.38	0.0000	0.0000	0.0000	1.0000	3.0000	6.0000	11.0000	0.00020081
2233	174	726.5	22.32	0.0000	0.0000	0.0000	2.0000	3.0000	6.0000	9.0000	0.00021358
2332	171	750.4	23.31	0.0000	0.0000	0.0000	2.0000	3.0000	7.0000	13.0000	0.00012470
2435	168	773.4	24.33	0.0000	0.0000	0.0000	2.0000	3.0000	7.0000	21.0000	0.00014623
2543	165	797.3	25.41	0.0000	0.0000	1.0000	2.0000	4.0000	7.0000	12.0000	0.00012162
2656	162	825.3	26.54	0.0000	0.0000	1.0000	2.0000	4.0000	7.0000	11.0000	0.00017204
2774	159	849.7	27.72	0.0000	0.0000	1.0000	2.0000	4.0000	7.0000	10.0000	0.00019244
2896	156	877.9	28.94	0.0000	0.0000	1.0000	2.0000	4.0000	7.0000	42.0000	0.00014603
3025	153	905.2	30.23	0.0000	0.0000	1.0000	2.0000	4.0000	8.0000	29.0000	0.00012997
3158	151	934.3	31.56	0.0000	0.0000	1.0000	2.0000	5.0000	8.0000	16.0000	0.00012759
3298	148	966.1	32.96	0.0000	0.0000	1.0000	2.0000	5.0000	8.0000	13.0000	0.00013988
3444	145	994.4	34.42	0.0000	0.0000	1.0000	3.0000	5.0000	8.0000	24.0000	0.00018726
3597	143	1027.5	35.95	0.0000	0.0000	1.0000	3.0000	5.0000	9.0000	17.0000	0.00015654
3756	140	1058.7	37.54	0.0000	0.0000	1.0000	3.0000	5.0000	9.0000	21.0000	0.00020241
3922	138	1091.3	39.20	0.0000	0.0000	1.0000	3.0000	6.0000	10.0000	25.0000	0.00015937
